step,value
50,0.47347477078437805
100,0.38487815856933594
150,0.2690069377422333
200,0.20691387355327606
250,0.18447786569595337
300,0.16033953428268433
350,0.14149919152259827
400,0.13155315816402435
450,0.12247780710458755
500,0.11100660264492035
550,0.10173538327217102
600,0.08908093720674515
650,0.07830056548118591
700,0.07277581840753555
750,0.06838223338127136
800,0.06623503565788269
850,0.06340374797582626
900,0.05996096506714821
950,0.05740378797054291
1000,0.05383578687906265
1050,0.05143531784415245
1100,0.04891092702746391
1150,0.045341283082962036
1200,0.043544501066207886
1250,0.04175524786114693
1300,0.03999782353639603
1350,0.03866932913661003
1400,0.03767644241452217
1450,0.03682008385658264
1500,0.03575526550412178
1550,0.03450733795762062
1600,0.033111993223428726
1650,0.033491529524326324
1700,0.03223320096731186
1750,0.031391702592372894
1800,0.03073653019964695
1850,0.030398642644286156
1900,0.030210867524147034
1950,0.029752053320407867
2000,0.029999427497386932
2050,0.031204700469970703
2100,0.030180146917700768
2150,0.029110312461853027
2200,0.028673537075519562
2250,0.0289003923535347
2300,0.028772521764039993
2350,0.028783906251192093
2400,0.028154753148555756
2450,0.028319930657744408
2500,0.028548255562782288
2550,0.029003959149122238
2600,0.029503867030143738
2650,0.028958508744835854
2700,0.028845371678471565
2750,0.02888794243335724
2800,0.028762299567461014
2850,0.02879195846617222
2900,0.028672097250819206
2950,0.028295688331127167
3000,0.028408043086528778
3050,0.028059016913175583
3100,0.02841014787554741
3150,0.028260061517357826
3200,0.028017180040478706
3250,0.027745986357331276
3300,0.0279217641800642
3350,0.027624499052762985
3400,0.027619201689958572
3450,0.027441248297691345
3500,0.027469446882605553
3550,0.027243545278906822
3600,0.02735767886042595
3650,0.02715524286031723
3700,0.027116529643535614
3750,0.026882892474532127
3800,0.026807015761733055
3850,0.02688697725534439
3900,0.02690478041768074
3950,0.02699860744178295
4000,0.026652636006474495
4050,0.02689593844115734
4100,0.026752695441246033
4150,0.026719890534877777
4200,0.026760036125779152
4250,0.026861175894737244
4300,0.026657138019800186
4350,0.026459233835339546
4400,0.026504354551434517
4450,0.02631506882607937
4500,0.02633562497794628
4550,0.026206273585557938
4600,0.026066675782203674
4650,0.026006851345300674
4700,0.025974828749895096
4750,0.02568690851330757
4800,0.025664448738098145
4850,0.02533876709640026
4900,0.025519533082842827
4950,0.025341739878058434
5000,0.025448083877563477
5050,0.02537873201072216
5100,0.02530049718916416
5150,0.025405369699001312
5200,0.02531355619430542
5250,0.025324461981654167
5300,0.02514788880944252
5350,0.025030307471752167
5400,0.025017213076353073
5450,0.024972887709736824
5500,0.02485787123441696
5550,0.024744408205151558
5600,0.024842754006385803
5650,0.024515001103281975
5700,0.02475026436150074
5750,0.02484111860394478
5800,0.024643082171678543
5850,0.024645263329148293
5900,0.024527722969651222
5950,0.02449573576450348
6000,0.024311792105436325
6050,0.024457812309265137
6100,0.02412509173154831
6150,0.024184338748455048
6200,0.02410781942307949
6250,0.02402169443666935
6300,0.023918256163597107
6350,0.024150025099515915
6400,0.023863794282078743
6450,0.024027250707149506
6500,0.023921532556414604
6550,0.02382454089820385
6600,0.02380135841667652
6650,0.023745717480778694
6700,0.02403716742992401
6750,0.023825520649552345
6800,0.023897891864180565
6850,0.023598456755280495
6900,0.023785943165421486
6950,0.023657694458961487
7000,0.02364475652575493
7050,0.023628871887922287
7100,0.023598693311214447
7150,0.023639075458049774
7200,0.023568544536828995
7250,0.023347925394773483
7300,0.023415913805365562
7350,0.023387916386127472
7400,0.023259339854121208
7450,0.023225627839565277
7500,0.02312396839261055
7550,0.023227794095873833
7600,0.023086674511432648
7650,0.023167138919234276
7700,0.022971518337726593
7750,0.023140883073210716
7800,0.023095423355698586
7850,0.02284061908721924
7900,0.022930722683668137
7950,0.02298492193222046
8000,0.022810572758316994
8050,0.022806324064731598
8100,0.02278173714876175
8150,0.02282433770596981
8200,0.02261020988225937
8250,0.022593453526496887
8300,0.022388022392988205
8350,0.02241744101047516
8400,0.022543560713529587
8450,0.022389916703104973
8500,0.022425727918744087
8550,0.02240922302007675
8600,0.022276602685451508
8650,0.022460024803876877
8700,0.022099332883954048
8750,0.022251399233937263
8800,0.0221902783960104
8850,0.022021377459168434
8900,0.02207985892891884
8950,0.022052541375160217
9000,0.021994145587086678
9050,0.021964523941278458
9100,0.021832363680005074
9150,0.021854449063539505
9200,0.021783404052257538
9250,0.021844299510121346
9300,0.021943282335996628
9350,0.021563230082392693
9400,0.021779680624604225
9450,0.02174725942313671
9500,0.021732894703745842
9550,0.02185983955860138
9600,0.021603235974907875
9650,0.02155877836048603
9700,0.02136586606502533
9750,0.021531201899051666
9800,0.021356426179409027
9850,0.021264679729938507
9900,0.021225357428193092
9950,0.02129244990646839
10000,0.021231835708022118
10050,0.021247146651148796
10100,0.02096589282155037
10150,0.021081747487187386
10200,0.02112826332449913
10250,0.021146411076188087
10300,0.021097274497151375
10350,0.02104732021689415
10400,0.020874982699751854
10450,0.020926767960190773
10500,0.020914725959300995
10550,0.020746497437357903
10600,0.02084234543144703
10650,0.020722627639770508
10700,0.020693505182862282
10750,0.020593220368027687
10800,0.02056950516998768
10850,0.020265573635697365
10900,0.020327549427747726
10950,0.02021625265479088
11000,0.020021166652441025
11050,0.020037436857819557
11100,0.019834738224744797
11150,0.019868480041623116
11200,0.019746677950024605
11250,0.019856948405504227
11300,0.01964343711733818
11350,0.019556770101189613
11400,0.01941431127488613
11450,0.01943335123360157
11500,0.0193595252931118
11550,0.019254298880696297
11600,0.01927964575588703
11650,0.019209006801247597
11700,0.019055500626564026
11750,0.01900051347911358
11800,0.01907062716782093
11850,0.01889614202082157
11900,0.018820058554410934
11950,0.0187804214656353
12000,0.018819548189640045
12050,0.018785977736115456
12100,0.018559735268354416
12150,0.01872878707945347
12200,0.018475444987416267
12250,0.018615424633026123
12300,0.01842765510082245
12350,0.018468573689460754
12400,0.01842809095978737
12450,0.01823030412197113
12500,0.018195683136582375
12550,0.018335558474063873
12600,0.01812669262290001
12650,0.018145857378840446
12700,0.018101654946804047
12750,0.01809954084455967
